simulation_model,sldemo_bounce_two_integrators
ode1,1.000000e-05,10.788461
ode2,1.000000e-05,12.715278
ode3,1.000000e-05,13.041841
ode4,1.000000e-05,13.813051
ode5,1.000000e-05,15.966633
ode8,1.000000e-05,24.634328
ode1,1.000000e-06,89.184663
ode2,1.000000e-06,109.786557
ode3,1.000000e-06,118.625732
ode4,1.000000e-06,128.755239
ode5,1.000000e-06,150.797718
ode8,1.000000e-06,230.001417
