simulation_model,sldemo_bounce_two_integrators
ode1,1.000000e-05,3.965339
ode2,1.000000e-05,4.022387
ode3,1.000000e-05,4.707440
ode4,1.000000e-05,5.102978
ode5,1.000000e-05,6.349338
ode8,1.000000e-05,10.775937
ode1,1.000000e-06,30.736131
ode2,1.000000e-06,37.625005
ode3,1.000000e-06,43.868016
ode4,1.000000e-06,49.756896
ode5,1.000000e-06,61.348022
ode8,1.000000e-06,107.042205
