simulation_model,sldemo_bounce
ode1,1.000000e-05,5.582761
ode2,1.000000e-05,4.523939
ode3,1.000000e-05,4.917083
ode4,1.000000e-05,5.014146
ode5,1.000000e-05,5.618957
ode8,1.000000e-05,7.813143
ode1,1.000000e-06,39.422190
ode2,1.000000e-06,42.767665
ode3,1.000000e-06,47.326663
ode4,1.000000e-06,48.702429
ode5,1.000000e-06,54.428311
ode8,1.000000e-06,74.925793
