simulation_model,sldemo_bounce_two_integrators
ode1,1.000000e-05,5.111134
ode2,1.000000e-05,5.551017
ode3,1.000000e-05,6.703415
ode4,1.000000e-05,7.241707
ode5,1.000000e-05,9.025159
ode8,1.000000e-05,15.645243
ode1,1.000000e-06,43.209798
ode2,1.000000e-06,53.270505
ode3,1.000000e-06,63.624230
ode4,1.000000e-06,69.238509
ode5,1.000000e-06,87.056142
ode8,1.000000e-06,148.955327
