simulation_model,sldemo_bounce
ode1,1.000000e-05,8.823154
ode2,1.000000e-05,7.443617
ode3,1.000000e-05,7.969431
ode4,1.000000e-05,8.120507
ode5,1.000000e-05,9.159704
ode8,1.000000e-05,12.365301
ode1,1.000000e-06,63.436945
ode2,1.000000e-06,72.020872
ode3,1.000000e-06,75.133538
ode4,1.000000e-06,79.171440
ode5,1.000000e-06,89.074454
ode8,1.000000e-06,117.991550
