simulation_model,sldemo_bounce_two_integrators
ode1,1.000000e-05,7.036815
ode2,1.000000e-05,4.132618
ode3,1.000000e-05,4.907951
ode4,1.000000e-05,5.388712
ode5,1.000000e-05,6.357588
ode8,1.000000e-05,10.614626
ode1,1.000000e-06,32.195114
ode2,1.000000e-06,38.873203
ode3,1.000000e-06,46.519281
ode4,1.000000e-06,49.555247
ode5,1.000000e-06,62.080402
ode8,1.000000e-06,103.490810
