simulation_model,sldemo_bounce
ode1,1.000000e-05,13.334350
ode2,1.000000e-05,11.114554
ode3,1.000000e-05,12.102540
ode4,1.000000e-05,12.601379
ode5,1.000000e-05,13.868715
ode8,1.000000e-05,18.985278
ode1,1.000000e-06,95.483592
ode2,1.000000e-06,104.263331
ode3,1.000000e-06,119.296332
ode4,1.000000e-06,121.856472
ode5,1.000000e-06,132.019126
ode8,1.000000e-06,183.848013
