simulation_model,sldemo_bounce
ode1,1.000000e-05,6.224314
ode2,1.000000e-05,5.142074
ode3,1.000000e-05,5.620139
ode4,1.000000e-05,5.709224
ode5,1.000000e-05,6.286391
ode8,1.000000e-05,8.375659
ode1,1.000000e-06,45.322087
ode2,1.000000e-06,47.965766
ode3,1.000000e-06,52.707978
ode4,1.000000e-06,55.080909
ode5,1.000000e-06,62.482005
ode8,1.000000e-06,84.300900
