simulation_model,sldemo_bounce
ode1,1.000000e-05,5.977305
ode2,1.000000e-05,4.867978
ode3,1.000000e-05,5.187285
ode4,1.000000e-05,5.309664
ode5,1.000000e-05,5.871748
ode8,1.000000e-05,7.778089
ode1,1.000000e-06,41.464750
ode2,1.000000e-06,45.516818
ode3,1.000000e-06,50.197916
ode4,1.000000e-06,52.527424
ode5,1.000000e-06,58.406981
ode8,1.000000e-06,77.234425
